word,num_syllables,syllables,stress_pattern
WAKEN,2,"['wak', 'en']","[['wak', '1'], ['en', '0']]"
WAKES,1,['wakes'],"[['wakes', '1']]"
WAKING,2,"['wak', 'ing']","[['wak', '1'], ['ing', '0']]"
WAL,1,['wal'],"[['wal', '1']]"
WALD,1,['Wald'],"[['Wald', '1']]"
WALDHEIM,2,"['Wald', 'heim']","[['Wald', '1'], ['heim', '2']]"
WALDO,2,"['Wal', 'do']","[['Wal', '1'], ['do', '0']]"
WALE,1,['wale'],"[['wale', '1']]"
WALES,1,['Wales'],"[['Wales', '1']]"
WALFRED,2,"['Wal', 'fred']","[['Wal', '1'], ['fred', '0']]"
WALK,1,['walk'],"[['walk', '1']]"
WALKED,1,['walked'],"[['walked', '1']]"
WALKER,2,"['walk', 'er']","[['walk', '1'], ['er', '0']]"
WALKING,2,"['walk', 'ing']","[['walk', '1'], ['ing', '0']]"
WALKMAN,2,"['Walk', 'man']","[['Walk', '1'], ['man', '2']]"
WALKOUT,2,"['walk', 'out']","[['walk', '1'], ['out', '2']]"
WALKS,1,['walks'],"[['walks', '1']]"
WALKWAY,2,"['walk', 'way']","[['walk', '1'], ['way', '2']]"
WALL,1,['wall'],"[['wall', '1']]"
WALLACE,2,"['Wal', 'lace']","[['Wal', '1'], ['lace', '0']]"
WALLACK,2,"['wal', 'lack']","[['wal', '1'], ['lack', '0']]"
WALLBOARD,2,"['wall', 'board']","[['wall', '1'], ['board', '2']]"
WALLED,1,['walled'],"[['walled', '1']]"
WALLENSTEIN,3,"['Wal', 'len', 'stein']","[['Wal', '1'], ['len', '0'], ['stein', '2']]"
WALLER,2,"['wal', 'ler']","[['wal', '1'], ['ler', '0']]"
WALLET,2,"['wal', 'let']","[['wal', '1'], ['let', '0']]"
WALLEYE,2,"['wall', 'eye']","[['wall', '1'], ['eye', '2']]"
WALLFLOWER,3,"['wall', 'flow', 'er']","[['wall', '1'], ['flow', '2'], ['er', '0']]"
WALLING,2,"['wall', 'ing']","[['wall', '1'], ['ing', '0']]"
WALLOP,2,"['wal', 'lop']","[['wal', '1'], ['lop', '0']]"
WALLOPING,3,"['wal', 'lop', 'ing']","[['wal', '1'], ['lop', '0'], ['ing', '0']]"
WALLOW,2,"['wal', 'low']","[['wal', '1'], ['low', '0']]"
WALLPAPER,3,"['wall', 'pa', 'per']","[['wall', '1'], ['pa', '2'], ['per', '0']]"
WALLPAPERED,3,"['wall', 'pa', 'pered']","[['wall', '1'], ['pa', '2'], ['pered', '0']]"
WALLPAPERING,4,"['wall', 'pa', 'per', 'ing']","[['wall', '1'], ['pa', '2'], ['per', '0'], ['ing', '0']]"
WALLPAPERS,3,"['wall', 'pa', 'pers']","[['wall', '1'], ['pa', '2'], ['pers', '0']]"
WALLS,1,['walls'],"[['walls', '1']]"
WALLSEND,2,"['Walls', 'end']","[['Walls', '1'], ['end', '2']]"
WALLY,2,"['wal', 'ly']","[['wal', '1'], ['ly', '0']]"
WALNUT,2,"['wal', 'nut']","[['wal', '1'], ['nut', '2']]"
WALPOLE,2,"['Wal', 'pole']","[['Wal', '1'], ['pole', '2']]"
WALRUS,2,"['wal', 'rus']","[['wal', '1'], ['rus', '0']]"
WALRUSES,3,"['wal', 'rus', 'es']","[['wal', '1'], ['rus', '0'], ['es', '0']]"
WALSH,1,['walsh'],"[['walsh', '1']]"
WALT,1,['walt'],"[['walt', '1']]"
WALTER,2,"['Wal', 'ter']","[['Wal', '1'], ['ter', '0']]"
WALTERS,2,"['Wal', 'ters']","[['Wal', '1'], ['ters', '0']]"
WALTH,1,['walth'],"[['walth', '1']]"
WALTHER,2,"['Wal', 'ther']","[['Wal', '1'], ['ther', '0']]"
WALTON,2,"['Wal', 'ton']","[['Wal', '1'], ['ton', '0']]"
WALTZ,1,['waltz'],"[['waltz', '1']]"
WALTZER,2,"['waltz', 'er']","[['waltz', '1'], ['er', '0']]"
WAMBLE,2,"['wam', 'ble']","[['wam', '1'], ['ble', '0']]"
WAMPUM,2,"['wam', 'pum']","[['wam', '1'], ['pum', '0']]"
WAN,1,['wan'],"[['wan', '1']]"
WANAMAKER,4,"['Wan', 'a', 'ma', 'ker']","[['Wan', '1'], ['a', '0'], ['ma', '2'], ['ker', '0']]"
WAND,1,['wand'],"[['wand', '1']]"
WANDA,2,"['Wan', 'da']","[['Wan', '1'], ['da', '0']]"
WANDER,2,"['wan', 'der']","[['wan', '1'], ['der', '0']]"
WANDERER,3,"['wan', 'der', 'er']","[['wan', '1'], ['der', '0'], ['er', '0']]"
WANDERING,3,"['wan', 'der', 'ing']","[['wan', '1'], ['der', '0'], ['ing', '0']]"
WANDERLUST,3,"['wan', 'der', 'lust']","[['wan', '1'], ['der', '0'], ['lust', '2']]"
WANDS,1,['wands'],"[['wands', '1']]"
WANE,1,['wane'],"[['wane', '1']]"
WANED,1,['waned'],"[['waned', '1']]"
WANES,1,['wanes'],"[['wanes', '1']]"
WANG,1,['wang'],"[['wang', '1']]"
WANGER,2,"['wang', 'er']","[['wang', '1'], ['er', '0']]"
WANGLE,2,"['wan', 'gle']","[['wan', '1'], ['gle', '0']]"
WANGLED,2,"['wan', 'gled']","[['wan', '1'], ['gled', '0']]"
WANGLER,2,"['wan', 'gler']","[['wan', '1'], ['gler', '0']]"
WANING,2,"['wan', 'ing']","[['wan', '1'], ['ing', '0']]"
WANK,1,['wank'],"[['wank', '1']]"
WANN,1,['wann'],"[['wann', '1']]"
WANNABE,3,"['wan', 'na', 'be']","[['wan', '1'], ['na', '0'], ['be', '2']]"
WANNABEE,3,"['wan', 'na', 'bee']","[['wan', '1'], ['na', '0'], ['bee', '2']]"
WANNABEES,3,"['wan', 'na', 'bees']","[['wan', '1'], ['na', '0'], ['bees', '2']]"
WANNABES,3,"['wan', 'na', 'bes']","[['wan', '1'], ['na', '0'], ['bes', '2']]"
WANNER,2,"['wan', 'ner']","[['wan', '1'], ['ner', '0']]"
WANT,1,['want'],"[['want', '1']]"
WANTAGE,2,"['want', 'age']","[['want', '1'], ['age', '0']]"
WANTING,2,"['want', 'ing']","[['want', '1'], ['ing', '0']]"
WANTON,2,"['wan', 'ton']","[['wan', '1'], ['ton', '0']]"
WANTONLY,3,"['wan', 'ton', 'ly']","[['wan', '1'], ['ton', '0'], ['ly', '0']]"
WANTS,1,['wants'],"[['wants', '1']]"
WAPPING,2,"['wap', 'ping']","[['wap', '1'], ['ping', '0']]"
WAR,1,['war'],"[['war', '1']]"
WARBLER,2,"['war', 'bler']","[['war', '1'], ['bler', '0']]"
WARBURG,2,"['War', 'burg']","[['War', '1'], ['burg', '0']]"
WARD,1,['ward'],"[['ward', '1']]"
WARDE,1,['warde'],"[['warde', '1']]"
WARDED,2,"['ward', 'ed']","[['ward', '1'], ['ed', '0']]"
WARDEN,2,"['war', 'den']","[['war', '1'], ['den', '0']]"
WARDER,2,"['ward', 'er']","[['ward', '1'], ['er', '0']]"
WARDROBE,2,"['ward', 'robe']","[['ward', '1'], ['robe', '2']]"
WARDS,1,['wards'],"[['wards', '1']]"
WARE,1,['ware'],"[['ware', '1']]"
WAREHOUSE,2,"['ware', 'house']","[['ware', '1'], ['house', '2']]"
WAREHOUSED,2,"['ware', 'housed']","[['ware', '1'], ['housed', '2']]"
WAREHOUSES,3,"['ware', 'hous', 'es']","[['ware', '1'], ['hous', '2'], ['es', '0']]"
WAREHOUSING,3,"['ware', 'hous', 'ing']","[['ware', '1'], ['hous', '2'], ['ing', '0']]"
WARES,1,['wares'],"[['wares', '1']]"
WARF,1,['warf'],"[['warf', '1']]"
WARFARE,2,"['war', 'fare']","[['war', '1'], ['fare', '2']]"
WARHEAD,2,"['war', 'head']","[['war', '1'], ['head', '2']]"
WARHOL,2,"['War', 'hol']","[['War', '1'], ['hol', '0']]"
WARILY,3,"['war', 'i', 'ly']","[['war', '1'], ['i', '0'], ['ly', '0']]"
WARINESS,3,"['war', 'i', 'ness']","[['war', '1'], ['i', '0'], ['ness', '0']]"
WARING,2,"['war', 'ing']","[['war', '1'], ['ing', '0']]"
WARK,1,['wark'],"[['wark', '1']]"
WARLIKE,2,"['war', 'like']","[['war', '1'], ['like', '2']]"
WARLING,2,"['war', 'ling']","[['war', '1'], ['ling', '0']]"
WARLORD,2,"['war', 'lord']","[['war', '1'], ['lord', '2']]"
WARM,1,['warm'],"[['warm', '1']]"
WARMED,1,['warmed'],"[['warmed', '1']]"
WARMER,2,"['warm', 'er']","[['warm', '1'], ['er', '0']]"
WARMEST,2,"['warm', 'est']","[['warm', '1'], ['est', '0']]"
WARMING,2,"['warm', 'ing']","[['warm', '1'], ['ing', '0']]"
WARMISH,2,"['warm', 'ish']","[['warm', '1'], ['ish', '0']]"
WARMLY,2,"['warm', 'ly']","[['warm', '1'], ['ly', '0']]"
WARMONGER,3,"['war', 'mon', 'ger']","[['war', '1'], ['mon', '2'], ['ger', '0']]"
WARMONGERING,4,"['war', 'mon', 'ger', 'ing']","[['war', '1'], ['mon', '2'], ['ger', '0'], ['ing', '0']]"
WARMS,1,['warms'],"[['warms', '1']]"
WARMTH,1,['warmth'],"[['warmth', '1']]"
WARMUP,2,"['warm', 'up']","[['warm', '1'], ['up', '2']]"
WARN,1,['warn'],"[['warn', '1']]"
WARNE,1,['warne'],"[['warne', '1']]"
WARNED,1,['warned'],"[['warned', '1']]"
WARNER,2,"['warn', 'er']","[['warn', '1'], ['er', '0']]"
WARNING,2,"['warn', 'ing']","[['warn', '1'], ['ing', '0']]"
WARNINGLY,3,"['warn', 'ing', 'ly']","[['warn', '1'], ['ing', '0'], ['ly', '0']]"
WARNS,1,['warns'],"[['warns', '1']]"
WARP,1,['warp'],"[['warp', '1']]"
WARPATH,2,"['war', 'path']","[['war', '1'], ['path', '2']]"
WARPED,1,['warped'],"[['warped', '1']]"
WARPING,2,"['warp', 'ing']","[['warp', '1'], ['ing', '0']]"
WARPLANE,2,"['war', 'plane']","[['war', '1'], ['plane', '2']]"
WARPS,1,['warps'],"[['warps', '1']]"
WARR,1,['warr'],"[['warr', '1']]"
WARRANT,2,"['war', 'rant']","[['war', '1'], ['rant', '0']]"
WARRANTIES,3,"['war', 'ran', 'ties']","[['war', '1'], ['ran', '0'], ['ties', '0']]"
WARRANTLESS,3,"['war', 'rant', 'less']","[['war', '1'], ['rant', '0'], ['less', '0']]"
WARRANTY,3,"['war', 'ran', 'ty']","[['war', '1'], ['ran', '0'], ['ty', '0']]"
WARREN,2,"['War', 'ren']","[['War', '1'], ['ren', '0']]"
WARRING,2,"['war', 'ring']","[['war', '1'], ['ring', '0']]"
WARRIOR,3,"['war', 'ri', 'or']","[['war', '1'], ['ri', '0'], ['or', '0']]"
WARS,1,['wars'],"[['wars', '1']]"
WARSAW,2,"['War', 'saw']","[['War', '1'], ['saw', '2']]"
WARSHIP,2,"['war', 'ship']","[['war', '1'], ['ship', '2']]"
WART,1,['wart'],"[['wart', '1']]"
WARTH,1,['warth'],"[['warth', '1']]"
WARTIME,2,"['war', 'time']","[['war', '1'], ['time', '2']]"
WARTS,1,['warts'],"[['warts', '1']]"
WARWICK,2,"['War', 'wick']","[['War', '1'], ['wick', '0']]"
WARY,2,"['war', 'y']","[['war', '1'], ['y', '0']]"
WAS,1,['was'],"[['was', '1']]"
WASH,1,['wash'],"[['wash', '1']]"
WASHABLE,3,"['wash', 'a', 'ble']","[['wash', '1'], ['a', '0'], ['ble', '0']]"
WASHBASIN,3,"['wash', 'ba', 'sin']","[['wash', '1'], ['ba', '2'], ['sin', '0']]"
WASHBOARD,2,"['wash', 'board']","[['wash', '1'], ['board', '2']]"
WASHCLOTH,2,"['wash', 'cloth']","[['wash', '1'], ['cloth', '2']]"
WASHED,1,['washed'],"[['washed', '1']]"
WASHER,2,"['wash', 'er']","[['wash', '1'], ['er', '0']]"
WASHING,2,"['wash', 'ing']","[['wash', '1'], ['ing', '0']]"
WASHINGTON,3,"['Wash', 'ing', 'ton']","[['Wash', '1'], ['ing', '0'], ['ton', '0']]"
WASHINGTONIAN,5,"['Wash', 'ing', 'ton', 'i', 'an']","[['Wash', '2'], ['ing', '0'], ['ton', '1'], ['i', '0'], ['an', '0']]"
WASHINGTONIANS,5,"['Wash', 'ing', 'ton', 'i', 'ans']","[['Wash', '2'], ['ing', '0'], ['ton', '1'], ['i', '0'], ['ans', '0']]"
WASHOUT,2,"['wash', 'out']","[['wash', '1'], ['out', '2']]"
WASHROOM,2,"['wash', 'room']","[['wash', '1'], ['room', '2']]"
WASHTUB,2,"['wash', 'tub']","[['wash', '1'], ['tub', '2']]"
WASHY,2,"['wash', 'y']","[['wash', '1'], ['y', '0']]"
WASP,1,['wasp'],"[['wasp', '1']]"
WASPS,1,['wasps'],"[['wasps', '1']]"
WASTE,1,['waste'],"[['waste', '1']]"
WASTEBASKET,3,"['waste', 'bas', 'ket']","[['waste', '1'], ['bas', '2'], ['ket', '0']]"
WASTED,2,"['wast', 'ed']","[['wast', '1'], ['ed', '0']]"
WASTEFUL,2,"['waste', 'ful']","[['waste', '1'], ['ful', '0']]"
WASTEFULNESS,3,"['waste', 'ful', 'ness']","[['waste', '1'], ['ful', '0'], ['ness', '0']]"
WASTELAND,2,"['waste', 'land']","[['waste', '1'], ['land', '2']]"
WASTEPAPER,3,"['waste', 'pa', 'per']","[['waste', '1'], ['pa', '2'], ['per', '0']]"
WASTER,2,"['wast', 'er']","[['wast', '1'], ['er', '0']]"
WASTES,1,['wastes'],"[['wastes', '1']]"
WASTEWATER,3,"['waste', 'wa', 'ter']","[['waste', '1'], ['wa', '2'], ['ter', '0']]"
WASTING,2,"['wast', 'ing']","[['wast', '1'], ['ing', '0']]"
WAT,1,['wat'],"[['wat', '1']]"
WATCH,1,['watch'],"[['watch', '1']]"
WATCHDOG,2,"['watch', 'dog']","[['watch', '1'], ['dog', '2']]"
WATCHED,1,['watched'],"[['watched', '1']]"
WATCHER,2,"['watch', 'er']","[['watch', '1'], ['er', '0']]"
WATCHES,2,"['watch', 'es']","[['watch', '1'], ['es', '0']]"
WATCHFUL,2,"['watch', 'ful']","[['watch', '1'], ['ful', '0']]"
WATCHING,2,"['watch', 'ing']","[['watch', '1'], ['ing', '0']]"
WATCHMAN,2,"['watch', 'man']","[['watch', '1'], ['man', '0']]"
WATCHWORD,2,"['watch', 'word']","[['watch', '1'], ['word', '2']]"
WATER,2,"['wa', 'ter']","[['wa', '1'], ['ter', '0']]"
WATERBED,3,"['wa', 'ter', 'bed']","[['wa', '1'], ['ter', '0'], ['bed', '2']]"
WATERBORNE,3,"['wa', 'ter', 'borne']","[['wa', '1'], ['ter', '0'], ['borne', '2']]"
WATERBURY,4,"['Wa', 'ter', 'bur', 'y']","[['Wa', '1'], ['ter', '0'], ['bur', '2'], ['y', '0']]"
WATERCOLOR,4,"['wa', 'ter', 'col', 'or']","[['wa', '1'], ['ter', '0'], ['col', '2'], ['or', '0']]"
WATERCRESS,3,"['wa', 'ter', 'cress']","[['wa', '1'], ['ter', '0'], ['cress', '2']]"
WATERED,2,"['wa', 'tered']","[['wa', '1'], ['tered', '0']]"
WATERER,3,"['wa', 'ter', 'er']","[['wa', '1'], ['ter', '0'], ['er', '0']]"
WATERFALL,3,"['wa', 'ter', 'fall']","[['wa', '1'], ['ter', '0'], ['fall', '2']]"
WATERFORD,3,"['Wa', 'ter', 'ford']","[['Wa', '1'], ['ter', '0'], ['ford', '0']]"
WATERFOWL,3,"['wa', 'ter', 'fowl']","[['wa', '1'], ['ter', '0'], ['fowl', '2']]"
WATERFRONT,3,"['wa', 'ter', 'front']","[['wa', '1'], ['ter', '0'], ['front', '2']]"
WATERGATE,3,"['Wa', 'ter', 'gate']","[['Wa', '1'], ['ter', '0'], ['gate', '2']]"
WATERING,3,"['wa', 'ter', 'ing']","[['wa', '1'], ['ter', '0'], ['ing', '0']]"
WATERISHNESS,4,"['wa', 'ter', 'ish', 'ness']","[['wa', '1'], ['ter', '0'], ['ish', '0'], ['ness', '0']]"
WATERLOG,3,"['wa', 'ter', 'log']","[['wa', '1'], ['ter', '0'], ['log', '2']]"
WATERLOGGED,3,"['wa', 'ter', 'logged']","[['wa', '1'], ['ter', '0'], ['logged', '2']]"
WATERLOO,3,"['Wa', 'ter', 'loo']","[['Wa', '1'], ['ter', '0'], ['loo', '2']]"
WATERMAN,3,"['wa', 'ter', 'man']","[['wa', '1'], ['ter', '0'], ['man', '0']]"
WATERMARK,3,"['wa', 'ter', 'mark']","[['wa', '1'], ['ter', '0'], ['mark', '2']]"
WATERMELON,4,"['wa', 'ter', 'mel', 'on']","[['wa', '1'], ['ter', '0'], ['mel', '2'], ['on', '0']]"
WATERMELONS,4,"['wa', 'ter', 'mel', 'ons']","[['wa', '1'], ['ter', '0'], ['mel', '2'], ['ons', '0']]"
WATERMEN,3,"['wa', 'ter', 'men']","[['wa', '1'], ['ter', '0'], ['men', '0']]"
WATERPROOF,3,"['wa', 'ter', 'proof']","[['wa', '1'], ['ter', '0'], ['proof', '2']]"
WATERPROOFING,4,"['wa', 'ter', 'proof', 'ing']","[['wa', '1'], ['ter', '0'], ['proof', '2'], ['ing', '0']]"
WATERS,2,"['wa', 'ters']","[['wa', '1'], ['ters', '0']]"
WATERSHED,3,"['wa', 'ter', 'shed']","[['wa', '1'], ['ter', '0'], ['shed', '2']]"
WATERTIGHT,3,"['wa', 'ter', 'tight']","[['wa', '1'], ['ter', '0'], ['tight', '2']]"
WATERTOWN,3,"['Wa', 'ter', 'town']","[['Wa', '1'], ['ter', '0'], ['town', '2']]"
WATERWAY,3,"['wa', 'ter', 'way']","[['wa', '1'], ['ter', '0'], ['way', '2']]"
WATERWORK,3,"['wa', 'ter', 'work']","[['wa', '1'], ['ter', '0'], ['work', '2']]"
WATERWORKS,3,"['wa', 'ter', 'works']","[['wa', '1'], ['ter', '0'], ['works', '2']]"
WATERY,3,"['wa', 'ter', 'y']","[['wa', '1'], ['ter', '0'], ['y', '0']]"
WATFORD,2,"['Wat', 'ford']","[['Wat', '1'], ['ford', '0']]"
WATSON,2,"['Wat', 'son']","[['Wat', '1'], ['son', '0']]"
WATT,1,['watt'],"[['watt', '1']]"
WATTAGE,2,"['watt', 'age']","[['watt', '1'], ['age', '0']]"
WATTS,1,['watts'],"[['watts', '1']]"
WAUGH,1,['Waugh'],"[['Waugh', '1']]"
WAUSAU,2,"['Wau', 'sau']","[['Wau', '1'], ['sau', '0']]"
WAVE,1,['wave'],"[['wave', '1']]"
WAVED,1,['waved'],"[['waved', '1']]"
WAVELENGTH,2,"['wave', 'length']","[['wave', '1'], ['length', '2']]"
WAVER,2,"['wa', 'ver']","[['wa', '1'], ['ver', '0']]"
WAVES,1,['waves'],"[['waves', '1']]"
WAVING,2,"['wav', 'ing']","[['wav', '1'], ['ing', '0']]"
WAVY,2,"['wav', 'y']","[['wav', '1'], ['y', '0']]"
WAX,1,['wax'],"[['wax', '1']]"
WAXED,1,['waxed'],"[['waxed', '1']]"
WAXES,2,"['wax', 'es']","[['wax', '1'], ['es', '0']]"
WAXING,2,"['wax', 'ing']","[['wax', '1'], ['ing', '0']]"
WAXY,2,"['wax', 'y']","[['wax', '1'], ['y', '0']]"
WAY,1,['way'],"[['way', '1']]"
WAYLAID,2,"['way', 'laid']","[['way', '1'], ['laid', '2']]"
WAYLAND,2,"['Way', 'land']","[['Way', '1'], ['land', '0']]"
WAYLAY,2,"['way', 'lay']","[['way', '1'], ['lay', '2']]"
WAYLON,2,"['Way', 'lon']","[['Way', '1'], ['lon', '2']]"
WAYNE,1,['Wayne'],"[['Wayne', '1']]"
WAYS,1,['ways'],"[['ways', '1']]"
WAYSIDE,2,"['way', 'side']","[['way', '1'], ['side', '2']]"
WAYWARD,2,"['way', 'ward']","[['way', '1'], ['ward', '0']]"
WE,1,['we'],"[['we', '1']]"
WEAK,1,['weak'],"[['weak', '1']]"
WEAKEN,2,"['weak', 'en']","[['weak', '1'], ['en', '0']]"
WEAKER,2,"['weak', 'er']","[['weak', '1'], ['er', '0']]"
WEAKEST,2,"['weak', 'est']","[['weak', '1'], ['est', '0']]"
WEAKLING,2,"['weak', 'ling']","[['weak', '1'], ['ling', '0']]"
WEAKLY,2,"['weak', 'ly']","[['weak', '1'], ['ly', '0']]"
WEAKNESS,2,"['weak', 'ness']","[['weak', '1'], ['ness', '0']]"
WEALTH,1,['wealth'],"[['wealth', '1']]"
WEALTHIER,3,"['wealth', 'i', 'er']","[['wealth', '1'], ['i', '0'], ['er', '0']]"
WEALTHIEST,3,"['wealth', 'i', 'est']","[['wealth', '1'], ['i', '0'], ['est', '0']]"
WEALTHS,1,['wealths'],"[['wealths', '1']]"
WEALTHY,2,"['wealth', 'y']","[['wealth', '1'], ['y', '0']]"
WEAN,1,['wean'],"[['wean', '1']]"
WEANED,1,['weaned'],"[['weaned', '1']]"
WEAPON,2,"['weap', 'on']","[['weap', '1'], ['on', '0']]"
WEAPONRY,3,"['weap', 'on', 'ry']","[['weap', '1'], ['on', '0'], ['ry', '0']]"
WEAR,1,['wear'],"[['wear', '1']]"
WEARABLE,3,"['wear', 'a', 'ble']","[['wear', '1'], ['a', '0'], ['ble', '0']]"
WEARER,2,"['wear', 'er']","[['wear', '1'], ['er', '0']]"
WEARIED,2,"['wea', 'ried']","[['wea', '1'], ['ried', '0']]"
WEARILY,3,"['wea', 'ri', 'ly']","[['wea', '1'], ['ri', '0'], ['ly', '0']]"
WEARINESS,3,"['wea', 'ri', 'ness']","[['wea', '1'], ['ri', '0'], ['ness', '0']]"
WEARING,2,"['wear', 'ing']","[['wear', '1'], ['ing', '0']]"
WEARISOME,3,"['wea', 'ri', 'some']","[['wea', '1'], ['ri', '0'], ['some', '0']]"
WEARS,1,['wears'],"[['wears', '1']]"
WEARY,2,"['wea', 'ry']","[['wea', '1'], ['ry', '0']]"
WEARYING,3,"['wea', 'ry', 'ing']","[['wea', '1'], ['ry', '0'], ['ing', '0']]"
WEASEL,2,"['wea', 'sel']","[['wea', '1'], ['sel', '0']]"
WEATHER,2,"['weath', 'er']","[['weath', '1'], ['er', '0']]"
WEATHERED,2,"['weath', 'ered']","[['weath', '1'], ['ered', '0']]"
WEATHERING,3,"['weath', 'er', 'ing']","[['weath', '1'], ['er', '0'], ['ing', '0']]"
WEATHERLY,3,"['weath', 'er', 'ly']","[['weath', '1'], ['er', '0'], ['ly', '0']]"
WEATHERMAN,3,"['weath', 'er', 'man']","[['weath', '1'], ['er', '0'], ['man', '2']]"
WEATHERMEN,3,"['weath', 'er', 'men']","[['weath', '1'], ['er', '0'], ['men', '2']]"
WEATHERPERSON,4,"['weath', 'er', 'per', 'son']","[['weath', '1'], ['er', '0'], ['per', '2'], ['son', '0']]"
WEATHERPROOF,3,"['weath', 'er', 'proof']","[['weath', '1'], ['er', '0'], ['proof', '2']]"
WEATHERS,2,"['weath', 'ers']","[['weath', '1'], ['ers', '0']]"
WEAVE,1,['weave'],"[['weave', '1']]"
WEAVED,1,['weaved'],"[['weaved', '1']]"
WEAVER,2,"['weav', 'er']","[['weav', '1'], ['er', '0']]"
WEAVES,1,['weaves'],"[['weaves', '1']]"
WEAVING,2,"['weav', 'ing']","[['weav', '1'], ['ing', '0']]"
WEB,1,['web'],"[['web', '1']]"
WEBB,1,['Webb'],"[['Webb', '1']]"
WEBBED,1,['webbed'],"[['webbed', '1']]"
WEBBER,2,"['web', 'ber']","[['web', '1'], ['ber', '0']]"
WEBBING,2,"['web', 'bing']","[['web', '1'], ['bing', '0']]"
WEBER,2,"['We', 'ber']","[['We', '1'], ['ber', '0']]"
WEBMASTER,3,"['web', 'mas', 'ter']","[['web', '1'], ['mas', '2'], ['ter', '0']]"
WEBS,1,['webs'],"[['webs', '1']]"
WEBSITE,2,"['web', 'site']","[['web', '1'], ['site', '2']]"
WEBSTER,2,"['Web', 'ster']","[['Web', '1'], ['ster', '0']]"
WECHT,1,['wecht'],"[['wecht', '1']]"
WECK,1,['weck'],"[['weck', '1']]"
WED,1,['wed'],"[['wed', '1']]"
WEDD,1,['wedd'],"[['wedd', '1']]"
WEDDED,2,"['wed', 'ded']","[['wed', '1'], ['ded', '0']]"
WEDDING,2,"['wed', 'ding']","[['wed', '1'], ['ding', '0']]"
WEDEL,2,"['we', 'del']","[['we', '1'], ['del', '0']]"
WEDGE,1,['wedge'],"[['wedge', '1']]"
WEDGED,1,['wedged'],"[['wedged', '1']]"
WEDGWOOD,2,"['Wedg', 'wood']","[['Wedg', '1'], ['wood', '2']]"
WEDLOCK,2,"['wed', 'lock']","[['wed', '1'], ['lock', '2']]"
WEDNESDAY,2,"['Wednes', 'day']","[['Wednes', '1'], ['day', '0']]"
WEDNESDAYS,2,"['Wednes', 'days']","[['Wednes', '1'], ['days', '2']]"
WEE,1,['wee'],"[['wee', '1']]"
WEED,1,['weed'],"[['weed', '1']]"
WEEDING,2,"['weed', 'ing']","[['weed', '1'], ['ing', '0']]"
WEEDS,1,['weeds'],"[['weeds', '1']]"
WEEDY,2,"['weed', 'y']","[['weed', '1'], ['y', '0']]"
WEEK,1,['week'],"[['week', '1']]"
WEEKDAY,2,"['week', 'day']","[['week', '1'], ['day', '2']]"
WEEKDAYS,2,"['week', 'days']","[['week', '1'], ['days', '2']]"
WEEKEND,2,"['week', 'end']","[['week', '1'], ['end', '2']]"
WEEKENDER,3,"['week', 'end', 'er']","[['week', '1'], ['end', '2'], ['er', '0']]"
WEEKENDS,2,"['week', 'ends']","[['week', '1'], ['ends', '2']]"
WEEKLY,2,"['week', 'ly']","[['week', '1'], ['ly', '0']]"
WEEKS,1,['weeks'],"[['weeks', '1']]"
WEEMS,1,['weems'],"[['weems', '1']]"
WEENY,2,"['wee', 'ny']","[['wee', '1'], ['ny', '0']]"
WEEP,1,['weep'],"[['weep', '1']]"
WEEPING,2,"['weep', 'ing']","[['weep', '1'], ['ing', '0']]"
WEEPS,1,['weeps'],"[['weeps', '1']]"
WEEPY,2,"['weep', 'y']","[['weep', '1'], ['y', '0']]"
WEEVIL,2,"['wee', 'vil']","[['wee', '1'], ['vil', '0']]"
WEGE,1,['wege'],"[['wege', '1']]"
WEGENER,3,"['We', 'ge', 'ner']","[['We', '1'], ['ge', '0'], ['ner', '0']]"
WEI,1,['Wei'],"[['Wei', '1']]"
WEICH,1,['weich'],"[['weich', '1']]"
WEIGH,1,['weigh'],"[['weigh', '1']]"
WEIGHED,1,['weighed'],"[['weighed', '1']]"
WEIGHING,2,"['weigh', 'ing']","[['weigh', '1'], ['ing', '0']]"
WEIGHS,1,['weighs'],"[['weighs', '1']]"
WEIGHT,1,['weight'],"[['weight', '1']]"
WEIGHTED,2,"['weight', 'ed']","[['weight', '1'], ['ed', '0']]"
WEIGHTLESS,2,"['weight', 'less']","[['weight', '1'], ['less', '0']]"
WEIGHTLIFTER,3,"['weight', 'lift', 'er']","[['weight', '1'], ['lift', '2'], ['er', '0']]"
WEIGHTLIFTING,3,"['weight', 'lift', 'ing']","[['weight', '1'], ['lift', '2'], ['ing', '0']]"
WEIGHTS,1,['weights'],"[['weights', '1']]"
WEIGHTY,2,"['weight', 'y']","[['weight', '1'], ['y', '0']]"
WEIK,1,['weik'],"[['weik', '1']]"
WEIL,1,['Weil'],"[['Weil', '1']]"
WEILL,1,['Weill'],"[['Weill', '1']]"
WEIMAR,2,"['Wei', 'mar']","[['Wei', '1'], ['mar', '0']]"
WEINBERGER,3,"['Wein', 'ber', 'ger']","[['Wein', '1'], ['ber', '0'], ['ger', '0']]"
WEIR,1,['weir'],"[['weir', '1']]"
WEIRD,1,['weird'],"[['weird', '1']]"
WEIRDNESS,2,"['weird', 'ness']","[['weird', '1'], ['ness', '0']]"
WEIRDO,2,"['weird', 'o']","[['weird', '1'], ['o', '0']]"
WEIS,1,['weis'],"[['weis', '1']]"
